YEAR,STATE,ENERGY SOURCE,GENERATION (Megawatthours),,,,,,
1990,OK,Hydroelectric Conventional,"2,730,594",,,,,,
1990,OK,Natural Gas,"18,236,766",,,,,,
1990,OK,Other Biomass,"1,780",,,,,,
1990,OK,Other Gases,"88,970",,,,,,
1990,OK,Petroleum,"76,947",,,,,,
1990,OK,Pumped Storage,"19,764",,,,,,
1990,OK,Wood and Wood Derived Fuels,"268,963",,,,,,
1990,OR,Total,"50,372,236",,,,,,
1990,OR,Coal,"1,317,344",,,,,,
1990,OR,Hydroelectric Conventional,"41,240,367",,,,,,
1990,OR,Natural Gas,"819,328",,,,,,
1990,OR,Nuclear,"6,073,796",,,,,,
1990,OR,Other Biomass,"90,487",,,,,,
1990,OR,Petroleum,"27,777",,,,,,
1990,OR,Wind,539,,,,,,
1990,OR,Wood and Wood Derived Fuels,"802,598",,,,,,
1990,PA,Total,"175,623,311",,,,,,
1990,PA,Coal,"106,677,155",,,,,,
1990,PA,Hydroelectric Conventional,"2,869,192",,,,,,
1990,PA,Natural Gas,"2,833,882",,,,,,
1990,PA,Nuclear,"57,787,051",,,,,,
1990,PA,Other,732,,,,,,
1990,PA,Other Biomass,"300,109",,,,,,
1990,PA,Other Gases,"841,604",,,,,,
1990,PA,Petroleum,"4,654,522",,,,,,
1990,PA,Pumped Storage,"-879,249",,,,,,
1990,PA,Wood and Wood Derived Fuels,"538,313",,,,,,
1990,RI,Total,"1,107,316",,,,,,
1990,RI,Coal,0,,,,,,
1990,RI,Hydroelectric Conventional,"9,946",,,,,,
1990,RI,Natural Gas,"876,943",,,,,,
1990,RI,Other Biomass,"34,756",,,,,,
1990,RI,Petroleum,"185,671",,,,,,
1990,SC,Total,"71,363,174",,,,,,
1990,SC,Coal,"23,411,867",,,,,,
1990,SC,Hydroelectric Conventional,"3,298,066",,,,,,
1990,SC,Natural Gas,"787,535",,,,,,
1990,SC,Nuclear,"42,880,669",,,,,,
1990,SC,Other Biomass,"49,561",,,,,,
1990,SC,Petroleum,"172,575",,,,,,
1990,SC,Pumped Storage,"-506,389",,,,,,
1990,SC,Wood and Wood Derived Fuels,"1,269,290",,,,,,
1990,SD,Total,"6,427,473",,,,,,
1990,SD,Coal,"2,472,514",,,,,,
1990,SD,Hydroelectric Conventional,"3,934,402",,,,,,
1990,SD,Natural Gas,"12,408",,,,,,
1990,SD,Petroleum,"8,149",,,,,,
1990,TN,Total,"76,187,609",,,,,,
1990,TN,Coal,"51,825,606",,,,,,
1990,TN,Hydroelectric Conventional,"10,015,363",,,,,,
1990,TN,Natural Gas,"224,146",,,,,,
1990,TN,Nuclear,"14,002,591",,,,,,
1990,TN,Other,"45,000",,,,,,
1990,TN,Other Biomass,"44,919",,,,,,
1990,TN,Other Gases,"4,210",,,,,,
1990,TN,Petroleum,"137,067",,,,,,
1990,TN,Pumped Storage,"-478,151",,,,,,
1990,TN,Wood and Wood Derived Fuels,"366,858",,,,,,
1990,TX,Total,"281,559,635",,,,,,
1990,TX,Coal,"120,921,396",,,,,,
1990,TX,Hydroelectric Conventional,"1,793,625",,,,,,
1990,TX,Natural Gas,"136,234,325",,,,,,
1990,TX,Nuclear,"15,859,258",,,,,,
1990,TX,Other,"488,731",,,,,,
1990,TX,Other Biomass,"333,132",,,,,,
1990,TX,Other Gases,"2,997,509",,,,,,
1990,TX,Petroleum,"1,827,803",,,,,,
1990,TX,Solar Thermal and Photovoltaic,385,,,,,,
1990,TX,Wood and Wood Derived Fuels,"1,103,471",,,,,,
1990,US-TOTAL,Total,"3,037,827,337",,,,,,
1990,US-TOTAL,Coal,"1,594,011,479",,,,,,
1990,US-TOTAL,Geothermal,"15,434,271",,,,,,
1990,US-TOTAL,Hydroelectric Conventional,"292,865,846",,,,,,
1990,US-TOTAL,Natural Gas,"372,765,154",,,,,,
1990,US-TOTAL,Nuclear,"576,861,678",,,,,,
1990,US-TOTAL,Other,"3,615,663",,,,,,
1990,US-TOTAL,Other Biomass,"13,260,379",,,,,,
1990,US-TOTAL,Other Gases,"10,382,830",,,,,,
1990,US-TOTAL,Petroleum,"126,460,202",,,,,,
1990,US-TOTAL,Pumped Storage,"-3,507,741",,,,,,
1990,US-TOTAL,Solar Thermal and Photovoltaic,"367,087",,,,,,
1990,US-TOTAL,Wind,"2,788,600",,,,,,
1990,US-TOTAL,Wood and Wood Derived Fuels,"32,521,889",,,,,,
1990,UT,Total,"32,563,539",,,,,,
1990,UT,Coal,"31,522,926",,,,,,
1990,UT,Geothermal,"151,825",,,,,,
1990,UT,Hydroelectric Conventional,"508,443",,,,,,
1990,UT,Natural Gas,"146,488",,,,,,
1990,UT,Other Gases,"182,005",,,,,,
1990,UT,Petroleum,"51,852",,,,,,
1990,UT,Pumped Storage,0,,,,,,
1990,VA,Total,"52,564,458",,,,,,
1990,VA,Coal,"23,899,902",,,,,,
1990,VA,Hydroelectric Conventional,"1,309,499",,,,,,
1990,VA,Natural Gas,"1,134,809",,,,,,
1990,VA,Nuclear,"23,820,152",,,,,,
1990,VA,Other Biomass,"620,794",,,,,,
1990,VA,Petroleum,"1,438,264",,,,,,
1990,VA,Pumped Storage,"-833,669",,,,,,
1990,VA,Solar Thermal and Photovoltaic,34,,,,,,
1990,VA,Wood and Wood Derived Fuels,"1,174,673",,,,,,
1990,VT,Total,"5,164,108",,,,,,
1990,VT,Hydroelectric Conventional,"1,365,031",,,,,,
1990,VT,Natural Gas,"65,281",,,,,,
1990,VT,Nuclear,"3,616,268",,,,,,
1990,VT,Petroleum,"2,543",,,,,,
1990,VT,Wind,0,,,,,,
1990,VT,Wood and Wood Derived Fuels,"114,985",,,,,,
1990,WA,Total,"102,071,533",,,,,,
1990,WA,Coal,"7,390,279",,,,,,
1990,WA,Hydroelectric Conventional,"87,466,708",,,,,,
1990,WA,Natural Gas,"288,058",,,,,,
1990,WA,Nuclear,"5,742,027",,,,,,
1990,WA,Other,"3,750",,,,,,
1990,WA,Other Biomass,"6,499",,,,,,
1990,WA,Other Gases,"8,460",,,,,,
1990,WA,Petroleum,"42,981",,,,,,
1990,WA,Pumped Storage,0,,,,,,
1990,WA,Wood and Wood Derived Fuels,"1,122,771",,,,,,
1990,WI,Total,"47,768,857",,,,,,
1990,WI,Coal,"33,168,941",,,,,,
1990,WI,Hydroelectric Conventional,"2,014,412",,,,,,
1990,WI,Natural Gas,"347,204",,,,,,
1990,WI,Nuclear,"11,225,913",,,,,,
1990,WI,Other Biomass,"149,770",,,,,,
1990,WI,Petroleum,"179,457",,,,,,
1990,WI,Wind,44,,,,,,
1990,WI,Wood and Wood Derived Fuels,"683,116",,,,,,
1990,WV,Total,"79,539,544",,,,,,
1990,WV,Coal,"77,643,366",,,,,,
1990,WV,Hydroelectric Conventional,"1,295,051",,,,,,
1990,WV,Natural Gas,"90,063",,,,,,
1990,WV,Other,"11,207",,,,,,
1990,WV,Other Gases,"174,182",,,,,,
1990,WV,Petroleum,"325,675",,,,,,
1990,WY,Total,"39,974,965",,,,,,
1990,WY,Coal,"38,908,467",,,,,,
1990,WY,Hydroelectric Conventional,"644,613",,,,,,
