,Year,States,Coal,NG,Petro
148,2010,WV,28.922433428666576,47.57987706614589,199.3814179668226
149,2010,WY,14.960883041598073,46.97833702167176,201.14722906511759
150,2011,AK,0.0,58.310575278861506,270.8773629302054
151,2011,AL,33.375770209531375,50.898049569535345,255.1305969272782
152,2011,AR,22.286088421887662,60.968994185085805,142.24481600056382
153,2011,AZ,23.02346008930754,66.50898394951672,273.19620277906523
154,2011,CA,17.35734096071268,57.07838841356776,132.23208493770437
155,2011,CO,19.967248573027778,56.40893255762075,42.92279285086244
156,2011,CT,41.884651161205504,33.72505152567763,19.967248573027778
157,2011,DE,40.27407620341998,9.663449746713153,0.0
158,2011,FL,41.04055464718539,67.84789566141072,232.9415310932089
159,2011,GA,43.73778258853705,52.1593432111746,245.39923136909218
160,2011,HI,0.0,58.310575278861506,237.1620136633096
161,2011,IA,16.6199692932928,73.6886554480787,245.18578167589166
162,2011,ID,21.102412850503118,87.64050357636538,0.0
163,2011,IL,20.685215722883974,58.688963371353275,0.0
164,2011,IN,28.67987695912056,51.703337048428104,253.41329712289243
165,2011,KS,20.394147959428764,55.16704343354517,41.593583397750294
166,2011,KY,27.2051336242808,73.74686900076975,265.17243476648304
167,2011,LA,30.930800996507564,49.79199206840553,72.34004147740289
168,2011,MA,41.884651161205504,67.74117081481047,22.2472793867603
169,2011,MD,43.17505157919028,64.5103186404576,249.5226913513744
170,2011,ME,41.884651161205504,57.456776506059526,249.5226913513744
171,2011,MI,31.056930360671487,56.6805958035123,222.47279386760303
172,2011,MN,22.489835856306314,73.16473347385933,0.0
173,2011,MO,20.035164384500664,52.97433294884921,232.92212657564525
174,2011,MS,45.105801076776565,49.549435598859496,31.33829586534486
175,2011,MT,17.66781324173158,48.986704589512755,0.0
176,2011,NC,42.67053412253459,71.3116020465278,256.9643238370461
177,2011,ND,15.63033889754507,58.95092435846297,253.4132971228924
178,2011,NE,17.609599689040536,85.79707440781569,113.19625320773329
179,2011,NH,41.884651161205504,70.50631456763502,0.0
180,2011,NJ,0.0,0.0,0.0
